Country_code,Country,Joy factors,Year,Value 2 (+),Value 1 (+),Value 3 (+),Value 5 (+/-),Value 4 (+/-),Value 6 (+/-),index
AT,Austria,Happiness,01,6,0.1122,8223696,-6,-0.1122,8223696,1
AT,Austria,Happiness,02,8,0.0918,64573220,-8,-0.0918,-64573220,1
AT,Austria,Happiness,03,16,0.0918,82882182,-16,0.0918,82882182,1
AT,Austria,Happiness,04,17,0.0969,94046233,17,-0.0969,-94046233,1
AT,Austria,Happiness,05,8,0.0918,3760493,8,0.0918,3760493,1
AT,Austria,Happiness,06,10,0.0969,11411245,-10,-0.0969,11411245,1
AT,Austria,Happiness,07,4,0.0969,15676964,-4,-0.0969,15676964,1
BE,Belgium,Happiness,01,22,0.1122,90069337,-22,-0.1122,-90069337,1
BE,Belgium,Happiness,02,19,0.0918,36621745,19,0.0918,-36621745,1
BE,Belgium,Happiness,03,28,0.0918,11703682,28,-0.0918,-11703682,1
BE,Belgium,Happiness,04,28,0.0969,52743273,-28,-0.0969,52743273,1
BE,Belgium,Happiness,05,23,0.0918,29275231,23,0.0918,29275231,1
BE,Belgium,Happiness,06,29,0.0969,96342143,-29,0.0969,-96342143,1
BE,Belgium,Happiness,07,17,0.0969,52659612,17,-0.0969,52659612,1
BG,Bulgaria,Happiness,01,20,0.1122,29618522,20,-0.1122,-29618522,1
BG,Bulgaria,Happiness,02,24,0.0918,38129021,-24,0.0918,38129021,1
BG,Bulgaria,Happiness,03,39,0.0918,45573480,-39,-0.0918,45573480,1
BG,Bulgaria,Happiness,04,22,0.0969,8888313,22,0.0969,8888313,1
BG,Bulgaria,Happiness,05,29,0.0918,87876023,29,-0.0918,87876023,1
BG,Bulgaria,Happiness,06,49,0.0969,84136617,49,-0.0969,-84136617,1
BG,Bulgaria,Happiness,07,13,0.0969,48651201,13,0.0969,48651201,1
CY,Cyprus,Happiness,01,3,0.1122,110597064,-3,0.1122,-110597064,1
CY,Cyprus,Happiness,02,8,0.0918,83930549,8,0.0918,-83930549,1
CY,Cyprus,Happiness,03,9,0.0918,21827161,9,-0.0918,-21827161,1
CY,Cyprus,Happiness,04,10,0.0969,61826362,10,-0.0969,61826362,1
CY,Cyprus,Happiness,05,11,0.0918,18006151,11,-0.0918,18006151,1
CY,Cyprus,Happiness,06,5,0.0969,54234990,-5,0.0969,-54234990,1
CY,Cyprus,Happiness,07,1,0.0969,58166563,1,-0.0969,58166563,1
CZ,Czechia,Happiness,01,12,0.1122,99514491,-12,0.1122,99514491,1
CZ,Czechia,Happiness,02,25,0.0918,89879689,-25,-0.0918,-89879689,1
CZ,Czechia,Happiness,03,24,0.0918,29768495,24,0.0918,-29768495,1
CZ,Czechia,Happiness,04,33,0.0969,17094423,-33,-0.0969,-17094423,1
CZ,Czechia,Happiness,05,22,0.0918,48762291,-22,-0.0918,48762291,1
CZ,Czechia,Happiness,06,37,0.0969,31424587,-37,-0.0969,-31424587,1
CZ,Czechia,Happiness,07,5,0.0969,66188589,5,-0.0969,66188589,1
DK,Denmark,Happiness,01,38,0.1122,79292985,38,0.1122,79292985,1
DK,Denmark,Happiness,02,23,0.0918,7925581,23,-0.0918,7925581,1
DK,Denmark,Happiness,03,24,0.0918,8573022,24,0.0918,-8573022,1
DK,Denmark,Happiness,04,32,0.0969,29278971,32,0.0969,29278971,1
DK,Denmark,Happiness,05,27,0.0918,72739705,-27,-0.0918,72739705,1
DK,Denmark,Happiness,06,24,0.0969,5827585,-24,-0.0969,5827585,1
DK,Denmark,Happiness,07,34,0.0969,71142099,34,-0.0969,71142099,1
AT,Austria,Happiness,08,16,0.0566,18022711,-16,-0.0566,-18022711,1
AT,Austria,Happiness,09,15,0.0721,38713248,-15,-0.0721,-38713248,1
AT,Austria,Happiness,10,28,0.0721,7515812,28,-0.0721,7515812,1
AT,Austria,Happiness,11,35,0.0772,51794489,35,0.0772,-51794489,1
AT,Austria,Happiness,12,31,0.0824,56453210,31,-0.0824,-56453210,1
AT,Austria,Happiness,13,34,0.0875,82082611,34,-0.0875,-82082611,1
AT,Austria,Happiness,14,21,0.0875,79412923,-21,-0.0875,79412923,1
BE,Belgium,Happiness,08,12,0.0566,37405296,12,0.0566,37405296,1
BE,Belgium,Happiness,09,13,0.0721,1365676,13,0.0721,-1365676,1
BE,Belgium,Happiness,10,9,0.0721,27080470,9,0.0721,27080470,1
BE,Belgium,Happiness,11,21,0.0772,443997,-21,0.0772,-443997,1
BE,Belgium,Happiness,12,14,0.0824,34163726,-14,0.0824,34163726,1
BE,Belgium,Happiness,13,19,0.0875,74538706,-19,-0.0875,74538706,1
BE,Belgium,Happiness,14,10,0.0875,4146997,-10,-0.0875,-4146997,1
BG,Bulgaria,Happiness,08,15,0.0566,20379604,15,-0.0566,-20379604,1
BG,Bulgaria,Happiness,09,26,0.0721,37552047,26,-0.0721,37552047,1
BG,Bulgaria,Happiness,10,15,0.0721,2494157,-15,-0.0721,-2494157,1
BG,Bulgaria,Happiness,11,25,0.0772,64931013,-25,-0.0772,-64931013,1
BG,Bulgaria,Happiness,12,23,0.0824,77147570,-23,0.0824,-77147570,1
BG,Bulgaria,Happiness,13,28,0.0875,7218898,-28,0.0875,-7218898,1
BG,Bulgaria,Happiness,14,9,0.0875,5934799,-9,0.0875,-5934799,1
