Country_code,Country,Joy factors,Year,Value 2 (+),Value 1 (+),Value 3 (+),Value 5 (+/-),Value 4 (+/-),Value 6 (+/-),index
AT,Austria,Happiness,01,6,0.1122,8223696,-6,-0.1122,8223696,1
AT,Austria,Happiness,02,8,0.0918,64573220,-8,-0.0918,-64573220,1
AT,Austria,Happiness,03,16,0.0918,82882182,-16,0.0918,82882182,1
AT,Austria,Happiness,04,17,0.0969,94046233,17,-0.0969,-94046233,1
AT,Austria,Happiness,05,8,0.0918,3760493,8,0.0918,3760493,1
AT,Austria,Happiness,06,10,0.0969,11411245,-10,-0.0969,11411245,1
AT,Austria,Happiness,07,4,0.0969,15676964,-4,-0.0969,15676964,1
BE,Belgium,Happiness,01,22,0.1122,90069337,-22,-0.1122,-90069337,1
BE,Belgium,Happiness,02,19,0.0918,36621745,19,0.0918,-36621745,1
BE,Belgium,Happiness,03,28,0.0918,11703682,28,-0.0918,-11703682,1
BE,Belgium,Happiness,04,28,0.0969,52743273,-28,-0.0969,52743273,1
BE,Belgium,Happiness,05,23,0.0918,29275231,23,0.0918,29275231,1
BE,Belgium,Happiness,06,29,0.0969,96342143,-29,0.0969,-96342143,1
BE,Belgium,Happiness,07,17,0.0969,52659612,17,-0.0969,52659612,1
BG,Bulgaria,Happiness,01,20,0.1122,29618522,20,-0.1122,-29618522,1
BG,Bulgaria,Happiness,02,24,0.0918,38129021,-24,0.0918,38129021,1
BG,Bulgaria,Happiness,03,39,0.0918,45573480,-39,-0.0918,45573480,1
BG,Bulgaria,Happiness,04,22,0.0969,8888313,22,0.0969,8888313,1
BG,Bulgaria,Happiness,05,29,0.0918,87876023,29,-0.0918,87876023,1
BG,Bulgaria,Happiness,06,49,0.0969,84136617,49,-0.0969,-84136617,1
BG,Bulgaria,Happiness,07,13,0.0969,48651201,13,0.0969,48651201,1
AT,Austria,Happiness,08,16,0.0566,18022711,-16,-0.0566,-18022711,1
AT,Austria,Happiness,09,15,0.0721,38713248,-15,-0.0721,-38713248,1
AT,Austria,Happiness,10,28,0.0721,7515812,28,-0.0721,7515812,1
AT,Austria,Happiness,11,35,0.0772,51794489,35,0.0772,-51794489,1
AT,Austria,Happiness,12,31,0.0824,56453210,31,-0.0824,-56453210,1
AT,Austria,Happiness,13,34,0.0875,82082611,34,-0.0875,-82082611,1
AT,Austria,Happiness,14,21,0.0875,79412923,-21,-0.0875,79412923,1
BE,Belgium,Happiness,08,12,0.0566,37405296,12,0.0566,37405296,1
BE,Belgium,Happiness,09,13,0.0721,1365676,13,0.0721,-1365676,1
BE,Belgium,Happiness,10,9,0.0721,27080470,9,0.0721,27080470,1
BE,Belgium,Happiness,11,21,0.0772,443997,-21,0.0772,-443997,1
BE,Belgium,Happiness,12,14,0.0824,34163726,-14,0.0824,34163726,1
BE,Belgium,Happiness,13,19,0.0875,74538706,-19,-0.0875,74538706,1
BE,Belgium,Happiness,14,10,0.0875,4146997,-10,-0.0875,-4146997,1
BG,Bulgaria,Happiness,08,15,0.0566,20379604,15,-0.0566,-20379604,1
BG,Bulgaria,Happiness,09,26,0.0721,37552047,26,-0.0721,37552047,1
BG,Bulgaria,Happiness,10,15,0.0721,2494157,-15,-0.0721,-2494157,1
BG,Bulgaria,Happiness,11,25,0.0772,64931013,-25,-0.0772,-64931013,1
BG,Bulgaria,Happiness,12,23,0.0824,77147570,-23,0.0824,-77147570,1
BG,Bulgaria,Happiness,13,28,0.0875,7218898,-28,0.0875,-7218898,1
BG,Bulgaria,Happiness,14,9,0.0875,5934799,-9,0.0875,-5934799,1
AT,Austria,Happiness,15,23,0.0885,1245613,-23,0.0885,-1245613,1
AT,Austria,Happiness,16,13,0.0781,11542494,13,0.0781,11542494,1
AT,Austria,Happiness,17,19,0.0729,53144935,-19,0.0729,53144935,1
AT,Austria,Happiness,18,18,0.0625,56600359,-18,0.0625,-56600359,1
AT,Austria,Happiness,19,18,0.0729,30483485,18,-0.0729,-30483485,1
AT,Austria,Happiness,20,14,0.0625,27585717,-14,-0.0625,27585717,1
AT,Austria,Happiness,21,14,0.0625,54664284,-14,0.0625,-54664284,1
BE,Belgium,Happiness,15,25,0.0885,79952521,25,-0.0885,-79952521,1
BE,Belgium,Happiness,16,21,0.0781,69708434,-21,-0.0781,-69708434,1
BE,Belgium,Happiness,17,13,0.0729,51772289,13,0.0729,-51772289,1
BE,Belgium,Happiness,18,18,0.0625,42931444,-18,0.0625,-42931444,1
BE,Belgium,Happiness,19,12,0.0729,18722740,12,0.0729,-18722740,1
BE,Belgium,Happiness,20,8,0.0625,3074823,8,-0.0625,3074823,1
BE,Belgium,Happiness,21,10,0.0625,29229042,10,-0.0625,-29229042,1
BG,Bulgaria,Happiness,15,15,0.0885,64226723,-15,0.0885,-64226723,1
BG,Bulgaria,Happiness,16,25,0.0781,62560464,25,0.0781,-62560464,1
BG,Bulgaria,Happiness,17,19,0.0729,37235695,19,-0.0729,37235695,1
BG,Bulgaria,Happiness,18,22,0.0625,10790509,-22,-0.0625,-10790509,1
BG,Bulgaria,Happiness,19,22,0.0729,8999942,22,0.0729,-8999942,1
BG,Bulgaria,Happiness,20,30,0.0625,61514687,30,0.0625,-61514687,1
BG,Bulgaria,Happiness,21,8,0.0625,25595109,8,0.0625,-25595109,1
