Country_code,Country,Joy factors,Year,Value 2 (+),Value 1 (+),Value 3 (+),Value 5 (+/-),Value 4 (+/-),Value 6 (+/-),index
AT,Austria,Happiness,01,6,0.1122,8223696,-6,-0.1122,8223696,1
AT,Austria,Happiness,02,8,0.0918,64573220,-8,-0.0918,-64573220,1
AT,Austria,Happiness,03,16,0.0918,82882182,-16,0.0918,82882182,1
AT,Austria,Happiness,04,17,0.0969,94046233,17,-0.0969,-94046233,1
AT,Austria,Happiness,05,8,0.0918,3760493,8,0.0918,3760493,1
AT,Austria,Happiness,06,10,0.0969,11411245,-10,-0.0969,11411245,1
AT,Austria,Happiness,07,4,0.0969,15676964,-4,-0.0969,15676964,1
BE,Belgium,Happiness,01,22,0.1122,90069337,-22,-0.1122,-90069337,1
BE,Belgium,Happiness,02,19,0.0918,36621745,19,0.0918,-36621745,1
BE,Belgium,Happiness,03,28,0.0918,11703682,28,-0.0918,-11703682,1
BE,Belgium,Happiness,04,28,0.0969,52743273,-28,-0.0969,52743273,1
BE,Belgium,Happiness,05,23,0.0918,29275231,23,0.0918,29275231,1
BE,Belgium,Happiness,06,29,0.0969,96342143,-29,0.0969,-96342143,1
BE,Belgium,Happiness,07,17,0.0969,52659612,17,-0.0969,52659612,1
CY,Cyprus,Happiness,01,3,0.1122,110597064,-3,0.1122,-110597064,1
CY,Cyprus,Happiness,02,8,0.0918,83930549,8,0.0918,-83930549,1
CY,Cyprus,Happiness,03,9,0.0918,21827161,9,-0.0918,-21827161,1
CY,Cyprus,Happiness,04,10,0.0969,61826362,10,-0.0969,61826362,1
CY,Cyprus,Happiness,05,11,0.0918,18006151,11,-0.0918,18006151,1
CY,Cyprus,Happiness,06,5,0.0969,54234990,-5,0.0969,-54234990,1
CY,Cyprus,Happiness,07,1,0.0969,58166563,1,-0.0969,58166563,1
DE,Germany,Happiness,01,53,0.1122,109598285,53,0.1122,-109598285,1
DE,Germany,Happiness,02,78,0.0918,40780822,-78,0.0918,-40780822,1
DE,Germany,Happiness,03,40,0.0918,39411086,40,0.0918,39411086,1
DE,Germany,Happiness,04,20,0.0969,1870248,20,-0.0969,-1870248,1
DE,Germany,Happiness,05,34,0.0918,58839441,34,0.0918,-58839441,1
DE,Germany,Happiness,06,37,0.0969,89318765,-37,-0.0969,89318765,1
DE,Germany,Happiness,07,30,0.0969,94744656,30,-0.0969,-94744656,1
EE,Estonia,Happiness,01,31,0.1122,18204370,-31,-0.1122,18204370,1
EE,Estonia,Happiness,02,27,0.0918,49032601,-27,-0.0918,-49032601,1
EE,Estonia,Happiness,03,25,0.0918,46840614,-25,-0.0918,46840614,1
EE,Estonia,Happiness,04,21,0.0969,51686320,-21,-0.0969,-51686320,1
EE,Estonia,Happiness,05,21,0.0918,25710269,21,0.0918,25710269,1
EE,Estonia,Happiness,06,28,0.0969,71440987,-28,0.0969,71440987,1
EE,Estonia,Happiness,07,16,0.0969,29981461,-16,0.0969,-29981461,1
ES,Spain,Happiness,01,16,0.1122,104438895,-16,0.1122,-104438895,1
ES,Spain,Happiness,02,23,0.0918,65804815,23,-0.0918,-65804815,1
ES,Spain,Happiness,03,20,0.0918,60990764,-20,-0.0918,-60990764,1
ES,Spain,Happiness,04,27,0.0969,44554752,27,0.0969,44554752,1
ES,Spain,Happiness,05,14,0.0918,89486323,14,-0.0918,-89486323,1
ES,Spain,Happiness,06,17,0.0969,56424422,17,0.0969,56424422,1
ES,Spain,Happiness,07,14,0.0969,79829605,-14,-0.0969,-79829605,1
FR,France,Happiness,01,42,0.1122,75107301,42,0.1122,-75107301,1
FR,France,Happiness,02,32,0.0918,21113778,-32,0.0918,-21113778,1
FR,France,Happiness,03,38,0.0918,27640637,-38,0.0918,-27640637,1
FR,France,Happiness,04,44,0.0969,12007672,44,0.0969,-12007672,1
FR,France,Happiness,05,32,0.0918,64121053,32,-0.0918,-64121053,1
FR,France,Happiness,06,38,0.0969,96491069,38,0.0969,-96491069,1
FR,France,Happiness,07,21,0.0969,31723999,21,-0.0969,-31723999,1
HR,Croatia,Happiness,01,15,0.1122,109201357,-15,0.1122,109201357,1
HR,Croatia,Happiness,02,25,0.0918,23677071,25,-0.0918,23677071,1
HR,Croatia,Happiness,03,16,0.0918,18103164,16,0.0918,18103164,1
HR,Croatia,Happiness,04,17,0.0969,25228065,-17,0.0969,25228065,1
HR,Croatia,Happiness,05,14,0.0918,58225052,14,0.0918,58225052,1
HR,Croatia,Happiness,06,30,0.0969,92530847,30,-0.0969,-92530847,1
HR,Croatia,Happiness,07,9,0.0969,52194129,-9,0.0969,-52194129,1
AT,Austria,Happiness,08,16,0.0566,18022711,-16,-0.0566,-18022711,1
AT,Austria,Happiness,09,15,0.0721,38713248,-15,-0.0721,-38713248,1
AT,Austria,Happiness,10,28,0.0721,7515812,28,-0.0721,7515812,1
AT,Austria,Happiness,11,35,0.0772,51794489,35,0.0772,-51794489,1
AT,Austria,Happiness,12,31,0.0824,56453210,31,-0.0824,-56453210,1
AT,Austria,Happiness,13,34,0.0875,82082611,34,-0.0875,-82082611,1
AT,Austria,Happiness,14,21,0.0875,79412923,-21,-0.0875,79412923,1
BE,Belgium,Happiness,08,12,0.0566,37405296,12,0.0566,37405296,1
BE,Belgium,Happiness,09,13,0.0721,1365676,13,0.0721,-1365676,1
